date_time,Netflix,Twitter,DailyMotion,Google,Deezer
2019-03-16 00:00:00,405319151.32767856,166761281.5201165,68208078.21989614,205146317.19807208,184750425.56850663
2019-03-16 00:06:00,514496403.66146415,358832106.86043125,235543180.7032187,254934767.87169158,256986463.7701896
2019-03-16 00:12:00,614777539.7605253,224521911.35349008,184665028.3332298,317951544.00428176,272065582.235912
2019-03-16 00:18:00,810772128.2902293,200850901.72306225,99590446.99076945,245023892.335634,476239293.56201726
2019-03-16 00:24:00,633647579.9682494,169707161.87581593,78547167.30649768,213754255.32078135,405289306.1089105
2019-03-16 00:30:00,795591445.859314,262108589.59627384,90753371.33543724,292178189.29379135,260103916.79833296
2019-03-16 00:36:00,407215880.111764,277158052.40597856,63550005.56410975,252765393.0193045,220349143.64953503
2019-03-16 00:42:00,722574649.0723647,253311980.37200207,4349627.039638927,264020545.5151543,259368564.0826208
2019-03-16 00:48:00,741942901.3450112,255865003.09886628,6528042.559974824,156273182.24958894,177355085.2126286
2019-03-16 00:54:00,564337522.8144424,236061092.00814217,5328506.592896812,280248318.72461045,326388503.6732136
2019-03-16 01:00:00,685168147.2806027,240216765.09444112,47000357.90556337,803468605.0748954,158759524.33859506
2019-03-16 01:06:00,594219957.8896987,180042266.65504703,69462842.59551728,415604064.6734562,219828307.77501363
2019-03-16 01:12:00,825075905.0315948,172574169.21419385,170059866.47521937,143016128.8474993,178514680.48197693
2019-03-16 01:18:00,639150058.9210694,112622483.84115748,93607720.8558329,122645052.5789821,137688458.3479949
2019-03-16 01:24:00,381684159.0626992,126862485.1811488,86833332.8319382,252720294.89129668,115099371.5942574
2019-03-16 01:30:00,490025287.1050978,149214848.72737658,9960874.449302107,417166782.97547334,42664732.893096656
2019-03-16 01:36:00,511733575.133399,130369285.77102828,2235082.523339073,334765176.9505242,81929636.96835503
2019-03-16 01:42:00,652433297.4294928,109716077.50547488,8704000.367272219,256228720.42272168,79429315.39839855
2019-03-16 01:48:00,733785336.7514937,170166297.79591924,20641096.49481233,135863519.5234248,104730559.49381596
2019-03-16 01:54:00,573443288.9890692,200636995.542836,2746601.976429424,197033271.86698413,127231791.360331
2019-03-16 02:00:00,370898277.55268455,128890499.61182676,2403146.3606241816,186455669.75148284,47255949.78213537
2019-03-16 02:06:00,414599734.81996006,172634889.93636203,7280375.583350478,171994863.58920932,122926031.12684365
2019-03-16 02:12:00,673627250.7133219,132592658.99173626,13818391.07863151,157937611.6344692,94010447.33694796
2019-03-16 02:18:00,452343574.975006,119490913.93685056,22717014.77065065,90593231.42109922,227676669.75396347
2019-03-16 02:24:00,504106570.2651028,103589417.89099842,19821812.3050064,184444445.96305522,125770528.36182933
2019-03-16 02:30:00,472424563.20488095,105571464.9700925,874905.8074895459,347028445.18672013,144612585.38933104
2019-03-16 02:36:00,601925811.3148313,140265202.88758364,756776.7737274448,158480042.52043295,100051104.51105784
2019-03-16 02:42:00,543832268.3784174,61971297.29227014,708420.3518511471,87805425.3026001,124697090.11882526
2019-03-16 02:48:00,500253807.97009414,71267824.00988147,660063.9299748496,248229156.61836478,36890218.31917316
2019-03-16 02:54:00,413704492.937133,125782386.65821466,15522680.851847066,187255112.53930658,103121309.08766179
2019-03-16 03:00:00,315855924.32903063,98750916.87920856,64535550.86504904,126348470.88265693,191516568.33515388
2019-03-16 03:06:00,466787152.6554445,90684558.66852269,33034130.57820745,164832130.26862007,94598176.27376552
2019-03-16 03:12:00,452800046.23220414,87723379.72129199,2528332.851591891,152307636.76498023,127779706.83653007
2019-03-16 03:18:00,212317342.26839885,168383234.6710914,688728.4271944775,91416768.53060335,67900514.33840404
2019-03-16 03:24:00,502314852.19779366,159609493.80322433,3016012.120798856,138842034.30560192,20559810.802847352
2019-03-16 03:30:00,258086634.943515,124751630.94202282,1115769.495097657,642916581.532453,23803258.58679341
2019-03-16 03:36:00,242027268.9460287,102797122.56421416,541825.574009174,94053159.17069155,11231812.963640695
2019-03-16 03:42:00,231706743.89957783,97439251.14286505,1270616.5536261685,104791765.09573227,27717016.89747497
2019-03-16 03:48:00,298091436.56505847,73499215.64853945,2615601.304495789,147525210.7491249,36095415.51541701
