date_time,Deezer,Twitter,Netflix,DailyMotion,Google
2019-03-16 00:00:00,311500486.8687022,426270669.425151,1523909106.9290392,323712154.3926541,533552680.5299362
2019-03-16 00:06:00,317821149.9857849,474013773.91610456,1726775750.881473,101016212.53168853,646854431.0347378
2019-03-16 00:12:00,327168325.6358236,603038189.7171012,1417728511.9297366,153098903.5487514,675890279.2713492
2019-03-16 00:18:00,475074669.8403456,569472446.0330478,1537786295.9267387,96678829.03801268,498423722.93023425
2019-03-16 00:24:00,533675564.26151866,626890276.2665057,1840464858.4080482,327012143.1209042,774266688.3466897
2019-03-16 00:30:00,400062379.3262966,601611291.5370556,2237098517.994697,238635885.7539209,811081286.1921538
2019-03-16 00:36:00,413748109.5879436,441914485.4080425,2278825123.141571,394170804.3773939,681889875.7489786
2019-03-16 00:42:00,462534987.616772,301927504.64837384,2143382636.741796,284373580.40906745,594881412.3488736
2019-03-16 00:48:00,459264480.5804703,245739810.04821375,2231414794.0572367,200288945.41068125,505378099.0041799
2019-03-16 00:54:00,489555291.5141204,248353117.51876947,3196781464.877031,174384813.0047949,503500841.6874708
2019-03-16 01:00:00,439523637.4121781,416436054.88475496,2532205030.86566,82705708.79679723,602791189.8259096
2019-03-16 01:06:00,271238830.529572,360526089.0771856,1396890005.3486972,65425699.43274252,604974279.7206728
2019-03-16 01:12:00,253536378.77068463,306772212.27110714,1557921248.5877542,173893797.50344196,697716193.5761681
2019-03-16 01:18:00,296747281.4945792,193057593.2851684,1450263071.289225,9426385.602526797,833221114.4114451
2019-03-16 01:24:00,250875567.12877965,299894457.70660603,1730732012.8088903,78275588.85912421,1066509229.2615815
2019-03-16 01:30:00,317118602.6832294,298026323.54188514,1549084603.0588515,92472773.15394624,988017737.5034305
2019-03-16 01:36:00,257045619.39716837,250344545.1300888,1997856671.428555,37918548.54117029,1015273105.9696954
2019-03-16 01:42:00,489988085.0412148,178382283.82259288,1550365999.0480747,4524662.197768462,744666141.336975
2019-03-16 01:48:00,598939768.4901831,195483092.3132316,1592658446.5641196,82476593.84273084,574881102.9709502
2019-03-16 01:54:00,304489450.17934024,415519476.7640174,1696443887.0188572,306428233.61873186,260579374.27560568
2019-03-16 02:00:00,327796864.28191584,295101374.28925693,1159088921.6391213,111930715.38612434,405057473.3685038
2019-03-16 02:06:00,171139660.86475343,189073406.74977905,919736817.1867168,39766796.65680879,467698352.22140986
2019-03-16 02:12:00,166861972.22278708,189901312.80549783,968216825.579558,29567310.69018397,320036843.3816668
2019-03-16 02:18:00,90764796.97433536,185848326.78871396,1402917989.8769398,70199671.97347906,253613667.48746422
2019-03-16 02:24:00,146032528.26997122,197573223.2053491,1561433931.0143385,78718686.36214752,686250979.6878531
2019-03-16 02:30:00,117655255.63467488,94825342.64059518,854471218.9843807,36533681.53658836,255596809.25042254
2019-03-16 02:36:00,119907773.28362364,88185841.80280992,960203629.9168693,119934697.73650868,355682840.591534
2019-03-16 02:42:00,142635729.9543691,78841142.6808495,1652437503.8147914,115137156.81997994,412849556.3318839
2019-03-16 02:48:00,173735830.9629084,82787710.51558733,892002709.0706098,93989024.28534344,489336337.7727931
2019-03-16 02:54:00,133197225.80921233,120209184.24332936,819351328.3842058,10990552.220986957,460192464.63865227
2019-03-16 03:00:00,194450438.90109333,138735372.9038092,756099123.8820847,144170365.6190067,173827962.30285737
2019-03-16 03:06:00,157757548.2868938,132198579.48604892,665580125.557668,1038816.3125,208719504.24315566
2019-03-16 03:12:00,259364572.93204805,104038043.21186092,573137864.9839008,1466876.05078125,424715164.0195985
2019-03-16 03:18:00,155392483.00403944,47900126.13330041,368258011.41474336,671805.5234375,475792720.8031082
2019-03-16 03:24:00,220831022.5016085,121020616.98320062,668260710.4653835,9106766.187574213,607210986.91489
2019-03-16 03:30:00,207554916.78456363,111551027.9304786,478628636.61021984,16774613.30753146,243825114.92440975
2019-03-16 03:36:00,155876633.94860214,75473741.26132126,710478162.4276671,46482882.21964922,189439637.00206208
2019-03-16 03:42:00,146060558.89916986,51471884.73511484,352613865.82762766,52704677.21510408,366764534.5170027
2019-03-16 03:48:00,168940120.49359572,79353340.09944549,495548884.06179065,53956440.59569553,88518243.80684525
2019-03-16 03:54:00,224012951.38590828,36437134.95600683,457787489.08686143,108024389.32283258,154076689.5749009
2019-03-16 04:00:00,84875356.64977144,47818065.43146339,453313340.7259139,68775741.60284746,210710599.05851457
2019-03-16 04:06:00,141154985.90101367,51706141.91301451,434232599.66413736,47441889.87611965,93313062.10330229
2019-03-16 04:12:00,86192978.25349426,48706849.09023909,844729620.8233391,43063628.76309465,114142819.29149163
2019-03-16 04:18:00,164618587.34072143,85833066.15885146,830423397.0895934,54216204.46616793,200975839.14713708
2019-03-16 04:24:00,39038955.21335873,91703029.8050802,627526974.3989477,116177319.0,348582314.9817188
2019-03-16 04:30:00,65017352.8593058,34305608.72068793,590665003.1792287,51045447.18990552,212770898.44587967
2019-03-16 04:36:00,119106785.56795016,20784126.194855027,352180873.8196274,47628759.95500025,151046190.59826517
2019-03-16 04:42:00,108770893.09030885,36097224.81948142,334207911.53600967,41540331.0,75113928.06090464
2019-03-16 04:48:00,122827655.8395863,21722008.19699037,214009279.20800465,110158712.71731956,430237756.32549703
2019-03-16 04:54:00,156101236.66456205,20342747.877903704,325820749.2318154,56797127.38590157,156218857.64596272
2019-03-16 05:00:00,177281870.29708526,38305861.07404131,546282292.6368845,112708171.15260029,161272629.9888319
2019-03-16 05:06:00,113243685.99404052,67311776.44257201,452110157.09509903,24862016.190229025,294985747.69655097
2019-03-16 05:12:00,72113019.79293701,150901529.36865386,392790292.2045885,24384739.3695203,377549978.1651662
2019-03-16 05:18:00,41445275.908286266,104749830.91593029,264906745.9033917,27864130.467099376,322018067.0166071
2019-03-16 05:24:00,184219821.07060564,33010088.817387514,311987333.94588715,43029410.95932455,307249309.2358858
2019-03-16 05:30:00,169159628.60085082,54676832.09808934,218414619.96976256,48069614.24894685,247572995.0027709
2019-03-16 05:36:00,264998574.07004207,83866311.60559398,175162304.40669823,11515455.095606744,146069167.60689914
2019-03-16 05:42:00,163962834.57778153,17267419.08809263,294240286.6029107,3023148.872478276,141104775.8694989
2019-03-16 05:48:00,161056836.035869,54509195.64435126,311376917.740178,6559930.7035357775,142793812.20116025
2019-03-16 05:54:00,136355847.1106952,49530113.82172381,200643051.72401276,30445639.68948704,180900888.5414633
2019-03-16 06:00:00,203706584.24500352,42907521.76062868,1380464084.2125294,11387210.849450195,229039952.22653186
2019-03-16 06:06:00,184252793.91237742,36197106.65110415,1585610779.9477785,23166068.11394951,171601768.12326396
2019-03-16 06:12:00,130619285.75331672,75651395.50220539,706454616.7093548,76123198.20015743,179485856.73309988
2019-03-16 06:18:00,92321653.94444458,85860925.6809438,704156533.3150756,31922732.06615892,179663821.04753786
2019-03-16 06:24:00,113700320.57563764,76513821.7404347,500555203.2767936,3061026.148160873,178085680.70803487
2019-03-16 06:30:00,211494941.05995703,67569361.27448872,577035303.869077,4333543.012903409,245381130.777415
2019-03-16 06:36:00,300283791.8262467,108014803.81564534,358959632.4771036,3899015.6120625986,431753249.4306338
