date_time,Deezer,Twitter,Netflix,DailyMotion,Google
2019-03-16 00:00:00,421620114.83411634,425325620.82932836,1930119050.8234453,151544518.49598226,669742466.935668
2019-03-16 00:06:00,457182915.77191883,498841199.0341191,1304230138.443559,132331829.92932004,913816817.7485056
2019-03-16 00:12:00,522545895.91559833,628605587.9205006,1614481897.3614786,192270208.62869105,1267990813.6823044
2019-03-16 00:18:00,513201618.5747913,528470351.54395086,2244718980.9569373,329362965.0454581,798216211.5200801
2019-03-16 00:24:00,479981402.4950493,539466142.3131967,1826364026.869395,147850075.64295155,1000400447.816045
2019-03-16 00:30:00,352738150.05202764,641126280.1465513,1992210033.5105727,196324055.65576965,753620820.3943301
2019-03-16 00:36:00,270778263.68725705,590253283.4811537,3000875822.054837,156647814.94557795,682559103.7200847
2019-03-16 00:42:00,629581378.1827577,565549716.0190543,2598320139.4563107,137454523.07993874,833163421.2249386
2019-03-16 00:48:00,390394049.4500641,583838906.0303216,2983001614.686789,210958682.58255088,624343927.6128359
2019-03-16 00:54:00,315809111.82398593,462474864.6037293,2660197592.1297264,51375608.01155608,618258368.9533734
2019-03-16 01:00:00,271775186.81088567,394371390.96314055,3048294935.1601553,11208537.642806023,445831655.7019347
2019-03-16 01:06:00,317695328.5627686,327338154.85883933,2172571925.0466433,49943764.39807251,498476325.9177064
2019-03-16 01:12:00,313045672.9025069,289060420.5371541,1894355861.4949923,97330419.60260735,398416241.26887006
2019-03-16 01:18:00,300232916.435006,313691955.97981393,1744961665.0652983,128559165.40729776,591066647.5215255
2019-03-16 01:24:00,321457727.35830545,311454902.15480816,1709714301.3085132,143377724.90909514,826429090.7944626
2019-03-16 01:30:00,220580490.73373884,330663839.9970861,1774060602.756498,122696700.62227744,483599878.9235039
2019-03-16 01:36:00,509695655.0832962,278423531.33110964,1687008578.897593,124192503.18567364,539449568.4210056
2019-03-16 01:42:00,309490775.96421707,236942225.63176587,1459882059.6142287,108790012.67529169,509079693.80468243
2019-03-16 01:48:00,220277551.1745665,261073521.60121164,1270005255.1823213,218368438.9383992,673986279.8810474
2019-03-16 01:54:00,327843750.1983142,188730975.6706904,1186913678.6393034,66832351.67793277,395887302.25513375
2019-03-16 02:00:00,298266522.3456601,259744553.10075024,994670879.4210267,131235365.11951852,465443633.84986436
2019-03-16 02:06:00,325006696.589977,169188656.82310662,1124590724.6578634,235327983.56741837,423171533.0768517
2019-03-16 02:12:00,251311720.96027556,160441615.1972193,1727429003.750478,155898466.09257203,333499416.2956531
2019-03-16 02:18:00,400738162.6042064,159434516.1523084,1503375212.1404028,17641839.75341246,617146131.122719
2019-03-16 02:24:00,553583900.8206712,146984186.21785402,918939681.827415,13793713.177013624,508900898.0888089
2019-03-16 02:30:00,374535519.9398069,188652215.3892353,616315162.5226264,153784970.50439665,320384916.4450534
2019-03-16 02:36:00,326388056.9819741,188051636.4081857,723661029.9327509,353524166.27037364,376325481.9143105
2019-03-16 02:42:00,339072229.21034604,180737269.1124044,624790676.7026588,103143904.1603171,348046490.42752016
2019-03-16 02:48:00,285274844.83379334,148167418.44286332,873817473.7774754,85235447.38092786,258206742.4253664
2019-03-16 02:54:00,251585495.18790933,98771665.96306412,667440250.3399942,10270288.040721342,690451212.1805744
2019-03-16 03:00:00,249352928.95070475,179182867.75906968,675997818.1210352,43261663.69406883,304208672.4077503
2019-03-16 03:06:00,211354433.03492895,52533620.78981584,633825026.4987824,18315442.6427699,519577032.5958414
2019-03-16 03:12:00,258224951.37904373,54292450.96837037,519191964.3198097,206732231.2875589,648519305.144399
2019-03-16 03:18:00,348604424.5864575,88446990.05831426,220970590.48115888,205865709.5737851,241821973.04217666
2019-03-16 03:24:00,211516349.19165683,135697285.8879701,399967770.34522015,306107145.080508,313279507.9491351
2019-03-16 03:30:00,158446210.9874169,155634745.9261939,258960882.0208282,341887827.11712825,842598743.6221461
2019-03-16 03:36:00,121447970.98076114,99835491.81425704,278587922.19138014,164987037.4845761,1532321621.059956
2019-03-16 03:42:00,163908745.47437114,128301060.36008124,272690563.2718835,67417082.17641397,182993888.94416422
2019-03-16 03:48:00,148706433.3882449,113293641.49471168,271081261.3429933,24251308.65761391,446177517.2134179
2019-03-16 03:54:00,151927019.69981396,82026882.91133419,334410171.45407385,3405184.71875,366672088.24408567
2019-03-16 04:00:00,171810785.85438165,140903186.37372378,271845250.80850303,2657807.57392728,326899319.0494114
2019-03-16 04:06:00,191249349.02101687,44190080.41665666,228358131.71191925,7577610.48181529,168177438.5840448
2019-03-16 04:12:00,176159197.75631067,51061627.83065514,186263941.94193318,78198317.50419673,274100137.87205374
2019-03-16 04:18:00,204784090.81486455,56676122.99205961,220388085.04318157,138867425.68967676,363531106.0193746
2019-03-16 04:24:00,151911735.14294875,31686198.655047134,428835278.1379808,104139312.0,341551027.84210867
2019-03-16 04:30:00,183826482.0900244,72666608.36349201,242539520.91214088,121163648.54438101,436546721.10891193
2019-03-16 04:36:00,116753612.05502304,151014170.39102417,283519448.45837235,152136760.93912286,269147387.29534835
2019-03-16 04:42:00,257937065.28350905,92793337.39077128,657543667.3312037,106587170.07293384,181503054.62956548
2019-03-16 04:48:00,258382311.59724084,57754827.02344495,471781072.83888894,351997061.29271305,267823812.71507508
2019-03-16 04:54:00,194848800.71437216,61934118.2173098,378715514.1766852,139362604.3125,845481332.0586718
2019-03-16 05:00:00,131791472.37730704,26231161.44095303,222117829.98998696,107516212.0,233527743.10283822
2019-03-16 05:06:00,153598428.89071107,51979506.16711477,335060093.9021447,108000394.71106014,307756191.3192229
2019-03-16 05:12:00,128544243.47190854,53809511.20293179,609956819.243141,122759887.74414062,185807957.7916148
2019-03-16 05:18:00,121816422.4814605,103648756.50097764,640312448.4275812,160204175.57261288,273867494.02286875
2019-03-16 05:24:00,90739782.98628862,125582706.83088428,423316954.8148232,124898476.484375,415133136.94068533
2019-03-16 05:30:00,77689046.96898492,82896497.10240781,640241386.6993557,3386148.739944224,278796054.10655636
2019-03-16 05:36:00,208113738.26064909,73543009.54979801,543526543.8219914,670847.55859375,233237521.31128734
2019-03-16 05:42:00,220836338.88852972,61313103.31680416,368778212.652761,3561683.7141006445,285702962.84586096
2019-03-16 05:48:00,130864790.67290449,84791210.65183552,431070564.67778665,175923800.1364562,340689272.2065289
2019-03-16 05:54:00,104883046.66618074,65744212.26870626,414259729.5079397,73403411.422272,433891274.332907
2019-03-16 06:00:00,184405721.50450107,81410514.94876623,248233616.83884537,18655273.89245574,303056525.3004352
2019-03-16 06:06:00,157396753.20829132,94139846.75112844,309791822.03495383,53586274.66357851,816796128.4068465
2019-03-16 06:12:00,133855976.31120978,43407998.53951557,513188319.3091937,244331811.25211298,354913723.493324
2019-03-16 06:18:00,154232645.20694977,55761769.727155104,621784907.8418553,123491532.80340564,344773129.9155362
2019-03-16 06:24:00,132745233.6363922,129590956.67365216,435501303.8724883,63543909.76664887,417873449.17338765
2019-03-16 06:30:00,172649125.63820225,109294254.87716292,1478088511.1328812,43369638.77218804,774458624.8965393
2019-03-16 06:36:00,224775236.7061736,76658726.20165294,846799818.2779839,55468314.19936105,495515180.9915346
2019-03-16 06:42:00,225389817.0835592,130028020.40572524,862545351.881144,42975979.90717769,535769397.92483956
2019-03-16 06:48:00,109015764.09309173,286584632.41862345,982106451.2493557,50100428.00661906,477173951.0783903
2019-03-16 06:54:00,123648294.26219662,334942602.98051864,701321275.8329457,61350938.40046546,954961595.4663165
2019-03-16 07:00:00,143046993.25181192,406149834.9396413,875463110.1402017,117607858.56387836,657607360.8487738
2019-03-16 07:06:00,600192708.5998707,172740877.963493,477750298.05899286,66044850.77523631,759303812.0576651
2019-03-16 07:12:00,280604057.40122336,218960469.9668268,312696485.37756264,254768467.45540172,446963596.60907614
2019-03-16 07:18:00,188714002.3314714,239899454.4725209,490980477.2603653,303048675.97942275,750840705.8822652
2019-03-16 07:24:00,275910844.74799883,343924464.0360643,513098218.101692,333693336.24631166,647073036.9192511
2019-03-16 07:30:00,435472964.1741304,293234600.9771888,635986034.789704,345107434.86057496,962400909.0321981
2019-03-16 07:36:00,353677712.6782108,278812528.7439997,719477009.9384499,300612833.2392835,743331523.048527
