date_time,Google,Twitter,Netflix,DailyMotion,Deezer
2019-03-16 00:00:00,1455929271.2251427,394587251.70502114,2594375380.614903,292140630.4985583,801623377.6067729
2019-03-16 00:06:00,1194469812.7283444,548825290.6439528,2925432973.797033,274923468.22827005,939355804.4400363
2019-03-16 00:12:00,1330794382.600745,415902329.2457874,2730298683.7369213,555691349.8072205,970845078.3652824
2019-03-16 00:18:00,1371657780.8837109,371192347.2147095,3658371274.185351,250851044.59346712,870748925.3814253
2019-03-16 00:24:00,1219233018.5221639,404237937.0454538,2319508354.662092,530213876.78556025,1016070205.7495822
2019-03-16 00:30:00,1537361869.049784,468999102.2103897,2559787335.867761,228001832.719635,1110794939.4803207
2019-03-16 00:36:00,1510463112.065159,311630111.97071767,2373872781.2881074,668442877.3189709,708773261.2487737
2019-03-16 00:42:00,1337755315.0582922,402193338.95888126,2695082039.878408,304446752.5691834,653598778.9370062
2019-03-16 00:48:00,918611202.6687196,417560367.21509695,3150199592.91049,231894749.84924072,787496868.4212488
2019-03-16 00:54:00,969203080.7237264,289130710.8182083,3811789898.6583204,392285916.4186148,1123568286.6785884
2019-03-16 01:00:00,1722900526.4367523,261480267.3138628,2644982048.72093,237480765.36013284,1500656466.7465255
2019-03-16 01:06:00,1126049572.3480282,317250237.4321814,1908818773.29925,282658222.5356279,1086891938.1559474
2019-03-16 01:12:00,728615182.0213304,385963565.62231296,2413786780.513874,228804210.3465249,1004362071.6241176
2019-03-16 01:18:00,826636708.2901399,224011978.2749197,2988746227.935717,212193593.1674233,759367486.5546299
2019-03-16 01:24:00,623899883.9340949,242788653.23184824,3495850098.496349,121649573.79539031,856340394.8299048
2019-03-16 01:30:00,578739545.7127855,321713484.0072066,2935104112.824151,41037186.61184429,563955446.1232573
2019-03-16 01:36:00,579994086.4829483,286896642.58912146,2183238359.9667377,129812247.00117624,565896114.2191819
2019-03-16 01:42:00,855817584.3268335,302625577.16317815,1772534208.7187874,220144946.08813035,538181260.5140481
2019-03-16 01:48:00,469754795.0378862,264609845.60692453,2463508662.5991025,511097037.62494415,472052630.0273508
2019-03-16 01:54:00,558792867.0421804,212744636.88461232,2945233321.891403,117886272.43546373,343286627.4758921
2019-03-16 02:00:00,498339850.44556046,171654620.63360715,2205076325.61133,44253838.77330808,525684147.21091056
2019-03-16 02:06:00,940126540.9467552,141753159.75774768,3965162578.605907,183203351.58775067,384313184.14594465
2019-03-16 02:12:00,467444291.36283433,178997263.58168137,4326733475.173436,163640073.33012414,420264740.3705133
2019-03-16 02:18:00,603034467.5502403,173902125.66223294,2343997676.195248,54431756.11050823,368437983.80742425
2019-03-16 02:24:00,607601435.0159891,99918722.98985444,2316888975.226491,75596281.16769594,327409569.061324
2019-03-16 02:30:00,325050382.6283711,145476018.3931093,1444316281.0133805,254025482.06437525,315357215.03055936
2019-03-16 02:36:00,551615490.100724,164013135.80634525,942968146.0084026,82688905.44224846,348500773.5812679
2019-03-16 02:42:00,608727673.2347609,187385485.56875497,1189864693.432878,69437177.23693751,348994572.3066586
2019-03-16 02:48:00,620826991.6059115,174330779.7643845,1315801759.781749,40310599.99648678,232779643.117732
2019-03-16 02:54:00,593098977.0064514,141074858.63909242,999941125.7006199,33037156.28067891,204161569.46179584
2019-03-16 03:00:00,559473414.7020241,51637242.43387222,1202561925.3963804,85266175.50589724,264257916.44250864
2019-03-16 03:06:00,472372914.9250487,85107234.81243676,943192338.0582443,33703289.78069235,178071770.19799632
2019-03-16 03:12:00,374330788.71739095,95193365.46139136,1059885980.6083993,36571774.53089986,168835019.96823493
2019-03-16 03:18:00,488538217.40014297,97864404.56637932,1439082227.6439025,59802479.31476916,279072464.7567662
2019-03-16 03:24:00,309577954.7725229,53789789.02618952,1824678471.363832,9022762.000602432,457808614.87572634
2019-03-16 03:30:00,427384597.52249134,95752981.43902184,2072227698.4957688,3697633.198410488,331199828.5204502
2019-03-16 03:36:00,424204727.1306666,151642353.1958155,1283497307.7852015,11547270.475516122,341487865.1784778
2019-03-16 03:42:00,369174401.0235226,160864959.3458944,1136064062.7605212,6785616.761312743,292046825.23238695
2019-03-16 03:48:00,261995360.68230158,134593205.26357657,939607006.3917557,39174473.64789944,389493408.8445953
2019-03-16 03:54:00,501348024.9114893,91257339.9436986,1203325280.2237976,36712650.15598367,278336551.49028206
2019-03-16 04:00:00,317779580.9743777,81583648.8325183,1294080716.724173,13686672.432023594,238234966.03126508
2019-03-16 04:06:00,247416321.1968435,112473328.40965451,1287964889.3512952,14421047.643701747,125158839.30390827
2019-03-16 04:12:00,437663925.3164369,148911390.93203914,1080057994.54605,156955828.21406347,132581147.61803204
2019-03-16 04:18:00,357372983.1880641,149733258.9772731,1278611027.3228161,26333067.77520493,55294734.90457021
2019-03-16 04:24:00,378838343.91520905,93416798.73477614,596978308.2472941,5519963.902505601,111374364.43262853
2019-03-16 04:30:00,328244157.1534647,113103202.23526528,635974742.7921001,16053428.73247733,251775039.8638868
2019-03-16 04:36:00,434633607.22972316,81728976.57089758,523963831.2027223,46024613.04206562,145760946.01315397
2019-03-16 04:42:00,227504034.15205592,95324865.96234858,1035510674.9680989,15960390.843741788,85067037.31719542
2019-03-16 04:48:00,244803487.54746437,57313672.80549617,757246016.9716443,116325873.27507532,156690600.49719092
2019-03-16 04:54:00,460196526.39384013,81651856.63177523,721661137.0694227,32146011.58091099,54585173.25963376
2019-03-16 05:00:00,377005921.58246124,102802806.11157128,692511162.3535503,62789409.74601169,45578674.46938418
2019-03-16 05:06:00,383094341.3960218,120089930.42422087,1187400552.8312778,15435877.823982585,61991437.86731319
2019-03-16 05:12:00,362938515.44933784,102721276.40033844,998640788.101748,6683186.422515365,51365595.70635744
2019-03-16 05:18:00,490304429.9043416,119609059.21344893,757797479.7009071,20997414.671327,92460428.76282792
2019-03-16 05:24:00,330835938.1113317,97484141.17521346,838979754.8528153,76232957.26070645,46313402.30480965
2019-03-16 05:30:00,297213029.65923023,43952073.5851964,647502824.3389256,52309926.18666828,48181699.07600039
2019-03-16 05:36:00,398809855.51030356,27143115.06614241,631179056.3909973,9144545.186663743,141000766.89636657
2019-03-16 05:42:00,350143461.4076332,57951004.91304484,475956646.5581324,1254251.5325485328,20836395.35841631
2019-03-16 05:48:00,353564615.35103387,61490260.64710796,275550313.62795126,41717291.09154929,96050523.2348742
2019-03-16 05:54:00,446308392.186978,45827113.01589912,1142066285.762025,674784251.3868427,155490182.71854338
2019-03-16 06:00:00,430680810.4532478,53682385.93801915,1282924470.2507935,739911364.002828,103532081.2834928
2019-03-16 06:06:00,330126841.9219111,88538597.25873509,882310223.6879414,33825180.491260104,90298241.38871591
2019-03-16 06:12:00,468587219.41568816,50027930.25317159,929734259.1519276,41849850.92889951,138771561.03039673
