date_time,Google,Twitter,Netflix,DailyMotion,Deezer
2019-03-16 00:00:00,1684459997.7842417,558447208.2509061,4609160903.017243,325446404.01076406,1262975012.0637648
2019-03-16 00:06:00,2067942915.095652,705797299.0366515,5729743841.190215,408003662.82560986,1770590648.7922356
2019-03-16 00:12:00,1715960825.7205343,553886400.7312158,4978347475.422262,515009644.1759671,1123410236.7092779
2019-03-16 00:18:00,1811459422.7703104,478121359.16975117,5169197239.273668,869742603.5448395,920894400.3845627
2019-03-16 00:24:00,1507643285.2482662,603999006.7403027,5405266070.882331,806258819.6812569,718435927.3223734
2019-03-16 00:30:00,1790573642.4167979,763814921.4829342,4622856404.284996,855330008.316045,643048425.5566009
2019-03-16 00:36:00,2398151702.794365,859036547.4327211,4994724805.58613,533905696.8777297,741765234.9618633
2019-03-16 00:42:00,1459266237.4111924,620347241.2590737,3917351552.5782475,386931597.64592016,902549687.3668287
2019-03-16 00:48:00,1185101887.9642515,614395221.6122206,3597508675.053114,452231075.03835815,823255045.2352784
2019-03-16 00:54:00,2060261470.5130258,782679250.3205668,4697899911.590073,382604692.35050017,1193759300.8672545
2019-03-16 01:00:00,1917720284.6956387,690156171.3975034,3906984847.2245455,533124067.89408165,1646647821.9715214
2019-03-16 01:06:00,1699192014.7185023,609913094.6341004,4340355288.642218,534724795.5183706,1290309056.6286664
2019-03-16 01:12:00,1566893877.7625809,575069152.3339707,3962998949.9883103,536372372.4789037,1556718073.7049036
2019-03-16 01:18:00,1988225517.9326549,380828505.2558031,3848400296.7252674,575983103.7500899,1491095805.7029445
2019-03-16 01:24:00,1175012855.5323231,439266964.78940976,4294625017.141178,429475254.8914607,1612597932.153807
2019-03-16 01:30:00,1730847880.2193897,506965998.3861778,4829260789.409711,235374317.45617816,1522330240.0628507
2019-03-16 01:36:00,1384377421.6366558,451647112.93744385,4552714489.0746565,285364111.47367346,1019730918.2888428
2019-03-16 01:42:00,1251317120.4743106,435241392.745872,3802073588.502511,375956114.5712676,509277272.88160825
2019-03-16 01:48:00,989806754.576678,360264502.9281025,3713714512.575296,372134739.9215996,498302512.592256
2019-03-16 01:54:00,1317717125.550668,411513598.7389179,4042878643.516527,505999600.6573337,726654950.9845878
2019-03-16 02:00:00,1287726593.0476842,365092003.8440701,4287513361.3397627,195238946.9548801,910104907.3716087
2019-03-16 02:06:00,1392917243.3337045,368027880.7996824,5151995712.816307,285281889.1165015,932418751.7492859
2019-03-16 02:12:00,1099309354.6311672,275946425.06950635,4355453855.9024725,360309554.6054438,682657112.0600456
2019-03-16 02:18:00,1005989052.6364897,340406007.15847385,3480160562.159821,203371138.771996,687509315.5309719
2019-03-16 02:24:00,856823792.3107182,256650850.6359501,3591782047.5249624,150082592.59266195,419043837.5861744
2019-03-16 02:30:00,968464546.3135779,216223029.17797023,3189760003.9686885,412745805.9589901,529325304.3374111
2019-03-16 02:36:00,860891194.7643373,308325562.25037986,3171194088.398393,308685784.93920684,479644674.0016976
2019-03-16 02:42:00,1467107594.3711362,312019197.07138485,3124806647.352873,341738949.76171166,479414328.47462535
2019-03-16 02:48:00,650924071.8726408,309604583.7458542,3223269095.228054,192285840.2531533,499331216.1368176
2019-03-16 02:54:00,869513303.6527436,319028992.12116426,3177815454.545843,267210155.48741764,586295401.5016547
2019-03-16 03:00:00,774775698.2865031,351830001.93640363,3272181976.94563,164389090.53190574,802243514.8578733
2019-03-16 03:06:00,628909777.2976694,376296450.36806065,2576583930.418138,88818970.7727993,426208877.01505965
2019-03-16 03:12:00,1008562227.4379092,255084860.25821507,2626102940.147685,509359632.7666455,343251776.7756032
2019-03-16 03:18:00,657903778.6639959,285583460.8089635,2448097962.4221396,489399645.05319417,458788958.7702297
2019-03-16 03:24:00,452556833.48712945,244758885.11407387,2001095173.4688976,378656200.3030688,540739372.4727451
2019-03-16 03:30:00,734863337.2651474,183365537.1241021,2033750425.5691679,408258145.2399577,323562328.2952766
2019-03-16 03:36:00,538544321.5623596,119614152.96106587,1858191649.8034797,722245982.0357928,424373456.522448
2019-03-16 03:42:00,628627913.318923,121967881.930636,1436447443.1710124,417710483.95081913,192813031.3540124
2019-03-16 03:48:00,491080772.20903945,117509049.46083336,1485392816.4130669,68429982.7111544,222245715.83779284
2019-03-16 03:54:00,910554518.8319769,100322421.54015322,1524223674.4570105,144597936.8125,267506045.316218
2019-03-16 04:00:00,382345589.16295713,55340983.8982359,1341792395.089258,24504257.27702067,240844679.50047863
2019-03-16 04:06:00,655483727.5690613,152396592.58802843,1334183059.7001743,120220678.21879014,106131472.85559456
2019-03-16 04:12:00,852895028.0157186,122605744.08818148,1908705437.141681,105611649.82109354,128074666.16084076
2019-03-16 04:18:00,515485854.4325743,101873199.13617156,2048637809.7523112,224471018.4309085,157724018.77918634
2019-03-16 04:24:00,651223039.8400321,105285213.02638216,2264481555.344202,208472603.4665661,167122476.565968
2019-03-16 04:30:00,664625806.316343,106626044.1786872,1452812516.0188046,240308041.66437492,238169896.51171497
2019-03-16 04:36:00,692020194.0459267,126175528.54993948,1474825429.5033937,254076598.50688583,287946166.6384957
2019-03-16 04:42:00,466936920.710214,129493754.0968501,1233598126.3180928,119375454.43879066,220709153.51192892
2019-03-16 04:48:00,741655076.2755783,129634573.7155579,1260723264.2745302,184862952.3851605,385083412.06922245
2019-03-16 04:54:00,610139889.9629002,124536682.16910596,1447047359.3396368,134650393.25537807,255345576.38741875
2019-03-16 05:00:00,608019957.9010537,97710613.52996267,1077604146.9993734,63160320.4887079,152816987.94740698
2019-03-16 05:06:00,653195931.278338,73409596.08740748,948276317.8947779,11897543.646424118,318280702.9331883
2019-03-16 05:12:00,606909607.6789951,101813052.527006,886520373.4470736,53901116.13829071,157179573.94932774
2019-03-16 05:18:00,850140384.2372603,79655258.75823699,767945886.8643646,42801348.49879965,142046663.79267734
2019-03-16 05:24:00,856500401.0142395,97025870.08618718,789131065.2999318,129858756.6654615,122989484.58574358
2019-03-16 05:30:00,480300501.95291156,165810397.80867684,1197021821.6830072,67924169.41709495,396110502.8189225
2019-03-16 05:36:00,957627102.4945599,124518091.25371031,1123067929.3549798,79774789.70839457,273067128.25896066
2019-03-16 05:42:00,980983017.6406512,69043021.1253744,783307578.6295426,45036100.77606972,182775490.50352132
