date_time,Netflix,Twitter,DailyMotion,Google,Deezer
2019-03-16 00:00:00,1261927756.017755,252392733.79060167,58239486.24852912,581667107.321087,502908695.8751639
2019-03-16 00:06:00,1908585381.1888282,267560645.34917003,229441499.20662743,847926531.2743117,500667465.6347745
2019-03-16 00:12:00,1456755922.0945244,202806102.6053501,580538332.3327272,887820786.4496601,630138204.8291763
2019-03-16 00:18:00,1790127376.6540687,303437054.64499474,419486926.0717793,807418080.7836208,690957745.3553824
2019-03-16 00:24:00,1552165976.8654125,255965487.22444868,240935434.66425917,690734584.6365066,492515825.62418467
2019-03-16 00:30:00,2096261613.9434867,283376423.089103,342102456.93938035,803369601.7368729,393987726.82720286
2019-03-16 00:36:00,1329077459.318879,237505708.34286937,438327355.8002049,631274424.5902472,143048946.67345816
2019-03-16 00:42:00,1255024137.9780385,236324338.37438747,525364089.87869954,715254913.0562985,289799993.2680815
2019-03-16 00:48:00,1150470821.2093875,235622089.60867143,712210951.2379186,957921595.0424209,231160606.25611848
2019-03-16 00:54:00,1252190376.6332412,161646772.56029788,261954706.6057253,581276504.8383535,274561177.6846515
2019-03-16 01:00:00,1171534704.4603586,154464867.088074,279643794.4515016,721338106.9403093,122391739.28883082
2019-03-16 01:06:00,973842091.4239725,141889411.87829056,84345518.79795197,492420698.0051669,134497695.36997285
2019-03-16 01:12:00,1140162718.0848033,166445328.56354514,288347571.316038,442127384.69801307,211762431.37820905
2019-03-16 01:18:00,1408433682.218068,167288146.15698808,133532719.20025352,373293851.719206,288437533.01851493
2019-03-16 01:24:00,1274832862.6857114,109992690.52424452,112456069.97891729,552889492.3267704,266049448.8259869
2019-03-16 01:30:00,1323522504.0460212,189266863.21221635,90495364.98267642,402848718.8639948,152437845.61887658
2019-03-16 01:36:00,1125346578.5913444,392439781.67996585,23888848.19795245,463154001.8215215,98959244.87089908
2019-03-16 01:42:00,815661328.0481403,251521361.99639547,135576948.62000072,295025731.77068096,178886227.51176247
2019-03-16 01:48:00,1255138200.0535498,199293490.6280328,300881278.93849146,420986138.8984014,200691303.79726112
2019-03-16 01:54:00,1102891753.661358,151168896.36057863,403617652.096974,328263024.1331569,156410082.99536872
2019-03-16 02:00:00,1052031082.0938137,91499909.54793447,334442466.4010124,261129339.19113755,204867699.92665777
2019-03-16 02:06:00,614133309.0512426,101998609.64135513,12119356.047765648,323878348.9751282,204474210.11905283
2019-03-16 02:12:00,1073632106.2530695,87163224.74204059,202652245.8535733,648126565.5509194,153512469.25548518
2019-03-16 02:18:00,1062344661.4586588,106534767.89098167,309885065.7527435,533780010.82983625,165061834.2058762
2019-03-16 02:24:00,1089055280.2688522,167816122.68839347,32590950.78023006,461933418.1574987,233559461.5196326
2019-03-16 02:30:00,952362278.5156168,169969935.16865695,107357356.4003236,481249967.8195738,144318451.60804597
2019-03-16 02:36:00,963498098.4269881,55830304.68265782,225962295.50532076,385233192.10206366,109447586.0994938
2019-03-16 02:42:00,836568414.0969306,55007273.33747556,242922614.75603944,601166354.9364983,79765503.7191311
2019-03-16 02:48:00,945919428.728101,28797528.091101076,152137778.7578125,618407392.5820678,211761397.8056404
2019-03-16 02:54:00,968518660.6546717,58195363.51982053,55982833.81293534,1084962425.6336627,109608638.93332209
2019-03-16 03:00:00,884403206.4663199,67695837.19461656,122308119.76123048,366659312.81901276,38229911.39165883
2019-03-16 03:06:00,798979225.4795128,26016561.149137985,45089128.87988029,770848843.9350994,66860658.81339974
2019-03-16 03:12:00,673294759.3260996,23115203.15348337,130525826.12875149,615023081.5133369,43131927.5768873
2019-03-16 03:18:00,608441098.9730804,44916216.12182949,54772637.76894245,208672391.32566833,62443481.84176849
2019-03-16 03:24:00,747911218.1632674,49563519.96849689,22273657.10445889,378399079.27690864,66504135.35486794
2019-03-16 03:30:00,1064654790.8956816,33816031.04685874,114217590.89126456,333464341.4026804,100039185.94788918
2019-03-16 03:36:00,1004642584.1239008,54282949.75763055,39572767.85872468,463772638.36801994,98887755.66036417
2019-03-16 03:42:00,1154627603.3904505,41639942.2213009,19772793.9720035,496852887.6314561,77215944.69177647
2019-03-16 03:48:00,1047483560.4713961,7567645.086173364,43481497.17641042,207338390.46674785,33122257.83163574
2019-03-16 03:54:00,786003748.767442,18675577.99813456,6306019.635736551,258908804.23317406,101654636.65823825
2019-03-16 04:00:00,719657575.8924695,6352541.187296484,37940977.81278343,191246889.43587762,91185387.17440102
2019-03-16 04:06:00,652702271.4236064,20695031.560273867,51848176.72851562,236298674.42612422,117119293.50698698
2019-03-16 04:12:00,1026690073.490798,12476742.719514145,199150.10952528848,263117785.91663313,78604528.73371716
2019-03-16 04:18:00,711219062.4386991,21404403.39872056,35337947.515625,441492915.85061353,55679267.26694416
2019-03-16 04:24:00,595160188.2896488,40764621.07777157,43890845.08898178,267745875.26650664,120380801.95166568
2019-03-16 04:30:00,910188005.9976593,67675382.8365571,11291087.083984375,322327902.52143216,363675522.9907976
2019-03-16 04:36:00,422721540.0635525,42368360.43166333,131773250.93554688,314786253.158862,49167175.27240413
2019-03-16 04:42:00,453094893.674991,27184073.48834663,139655161.59756404,282273729.6620573,228655797.86759847
2019-03-16 04:48:00,599950048.1600616,23228141.77027198,379880260.1682384,420874702.21251893,108899250.12921014
2019-03-16 04:54:00,885811802.9679141,9116983.527215686,42034112.4084806,474310689.9414611,91001783.98912382
2019-03-16 05:00:00,586072748.7318943,32936111.354150914,67884482.09442201,301903903.5381524,90489266.31403685
2019-03-16 05:06:00,642919565.0337452,36940095.37495292,65604378.14768094,389416079.44166386,81449324.02969193
2019-03-16 05:12:00,857273405.6543077,22211710.249616414,41158050.37379104,387165304.2992456,55705408.73632719
2019-03-16 05:18:00,262780156.7069173,33321006.510284405,77115987.94420901,337774697.0065441,203867751.42391968
2019-03-16 05:24:00,311487128.2413375,21546842.56197023,4074366.1098957364,659728069.7355447,131206289.80670668
2019-03-16 05:30:00,490122105.6802848,28209740.05125826,126395076.62162548,498726671.5700589,155529710.79163608
2019-03-16 05:36:00,344273379.3117632,35865128.273650475,127716865.47398417,304257129.70737964,118212728.45223254
2019-03-16 05:42:00,305200491.57154524,19312678.94482655,279798403.1094045,539423455.7102895,176798152.1902686
2019-03-16 05:48:00,483698546.97037977,29600218.07331076,11689994.345444495,386898639.147099,168030776.45443422
2019-03-16 05:54:00,132976610.77754311,74383777.27667731,91792872.71826096,467812109.15399694,144385116.43377843
2019-03-16 06:00:00,342048053.5008908,65453286.61822732,158608197.68262422,436460181.4832214,140241318.23333654
2019-03-16 06:06:00,539782557.7322373,83123758.6776694,203837186.9843459,462240589.9462001,115560712.22198936
2019-03-16 06:12:00,714129624.7055677,88894496.03082696,613994283.5128044,546712734.3203492,172777387.78103095
2019-03-16 06:18:00,1217244814.4515548,122610932.31283368,357910673.2992474,437900248.3644849,192276847.33060497
2019-03-16 06:24:00,1223504013.1504452,57607357.99231345,55998045.49240824,615423653.5080433,338077363.5075989
2019-03-16 06:30:00,787953745.0135787,147201075.98102522,41812455.44494985,464027405.2995223,219296393.46793768
2019-03-16 06:36:00,723088544.7978897,92548605.78466891,209100603.46913773,587555798.8635279,318797092.64496875
2019-03-16 06:42:00,799460373.7572433,60731788.66372625,77381237.7625303,472179200.2926893,291814862.37136346
2019-03-16 06:48:00,820473052.7562437,84313793.39229067,257155717.0918512,609708789.4420123,376153336.0929754
2019-03-16 06:54:00,673821243.4811971,146713989.80641958,229173334.0129521,787031395.6369392,679315310.3437339
2019-03-16 07:00:00,653306367.1211067,145059957.4159006,361052464.675415,510007258.40770704,249795201.65117547
2019-03-16 07:06:00,815487488.2242358,118562681.90225343,289661325.38574183,795441294.4527758,201744082.94253018
2019-03-16 07:12:00,771075118.7466664,145188427.7927922,149122346.25789726,706984111.0460929,149753106.69782192
2019-03-16 07:18:00,2148907436.120921,105983605.459594,179975621.92585105,955142554.7052429,184476625.81972337
2019-03-16 07:24:00,510389770.224613,255794397.25823656,249688171.37497225,1607167796.3731492,289156513.5892794
2019-03-16 07:30:00,931746150.6951721,218337869.5873627,463243534.80027306,2005847247.160949,242919772.2287701
2019-03-16 07:36:00,514102161.5084872,174880653.93777817,370521519.2692533,1113579077.600656,128223596.28821789
2019-03-16 07:42:00,212507892.93890107,328354897.85790896,334036538.11274266,813354626.8727288,261987080.99054804
2019-03-16 07:48:00,377136774.8162636,258350926.18055016,531084793.50970656,1083960865.4548206,496822930.80011904
2019-03-16 07:54:00,477468466.1125539,293135608.63676435,277298826.038211,1774346927.029192,503176927.02118915
2019-03-16 08:00:00,410018284.93681866,279568675.51024693,270374891.3321577,1588823183.1025457,324762839.77591497
2019-03-16 08:06:00,650609336.5040604,359370439.58326477,200642199.68389848,1415854975.4183338,264311917.28695896
2019-03-16 08:12:00,759694938.6766808,245370230.87512508,695119278.9618013,999488583.3400025,505146566.0726155
2019-03-16 08:18:00,827489680.9502804,307963519.7638821,215750191.8636488,1434161146.5749326,606333205.4963193
2019-03-16 08:24:00,1143931183.7388375,297958468.21752787,277113962.35065216,1238801228.4085674,573629818.0927796
2019-03-16 08:30:00,1186091910.9271865,396426238.04547614,463989799.8880851,1327675696.0775418,601214758.464333
2019-03-16 08:36:00,2008865098.7438066,432944474.4443306,414820395.13794506,1443121165.0326226,851572097.3089387
2019-03-16 08:42:00,993780067.9928403,608184570.2192262,241868978.4257185,1700270646.1443868,806088690.7262162
2019-03-16 08:48:00,1371421475.3592653,372439152.2505642,245793642.8333601,1897427846.232963,733123922.5439639
2019-03-16 08:54:00,1538550997.568223,714542735.0540215,228271343.3146913,2396678704.0393634,862742449.9047296
2019-03-16 09:00:00,2562664755.7641745,400629057.4395034,442547560.1196956,3229572918.4425745,501051796.21055704
2019-03-16 09:06:00,1382600043.237509,398376493.575859,448646039.0212581,2050738175.8305492,689445244.6393446
2019-03-16 09:12:00,1886915109.976864,342960368.1377832,296649481.4322943,1472129149.048152,1190255833.4652526
2019-03-16 09:18:00,1316754533.558231,346058226.1969471,468104106.6075972,1492273665.2264643,1044276510.0587561
2019-03-16 09:24:00,1084413919.9411006,316572490.18376034,238035668.86534607,2481504837.1872344,1472372096.8472085
2019-03-16 09:30:00,1455339336.346479,431953020.01354915,241850379.16740063,1740337934.1414742,1128170741.9890044
