date_time,Deezer,Twitter,Netflix,DailyMotion,Google
2019-03-16 00:00:00,1017392837.6044863,636851667.6681916,3463454816.0248303,770402595.0279663,1855557954.4674098
2019-03-16 00:06:00,1398371550.5424,754053730.4016253,2398642978.005058,565690149.0655483,1421460609.1410503
2019-03-16 00:12:00,1587142131.8570476,836221098.6955402,4091555271.2886415,540123391.5211847,1453825500.9753356
2019-03-16 00:18:00,1321109177.3552823,728636242.161724,3168834860.2374644,576301653.1383092,1661642441.4978838
2019-03-16 00:24:00,1474240423.7668645,662372653.3179036,3291123002.545683,368640508.97231936,1010920417.877283
2019-03-16 00:30:00,1154064618.3737352,589155496.4427251,3052725184.8068066,535731463.13483965,1287148535.3899765
2019-03-16 00:36:00,952683737.9720666,705947340.9628738,3019278912.1630244,414006940.5161479,1382300872.2119842
2019-03-16 00:42:00,708356264.8239341,604643370.7180295,3185682120.7488203,464412167.09464407,1045216871.4297857
2019-03-16 00:48:00,633859926.0139885,698932667.2663506,2810669155.2875795,520166719.11613095,1310346422.3290424
2019-03-16 00:54:00,805323814.4427773,577506318.4252242,2900208668.706793,871258075.6722106,1199490670.9546766
2019-03-16 01:00:00,675178228.3963177,646755814.4513326,2930885548.753665,709621200.4819975,1348986660.0806518
2019-03-16 01:06:00,1063506161.4078311,625929097.5101706,2759469093.362681,542309468.3265238,1123967538.7738183
2019-03-16 01:12:00,851379479.2797762,575473053.8936613,3471953135.8877397,590383039.8915713,1373537051.4203882
2019-03-16 01:18:00,955824888.573468,514650416.1638488,3226109533.6073194,461378718.98412895,1268655913.44719
2019-03-16 01:24:00,930700040.819916,512670971.413792,3422859086.4295588,534616860.30116,1335269577.4260483
2019-03-16 01:30:00,851095387.987062,410998456.2491806,2805719274.0697765,404924443.5279622,993627534.3591727
2019-03-16 01:36:00,733630749.787865,363632180.64381653,1986706160.3901489,283502385.34033275,1629687533.7953646
2019-03-16 01:42:00,796381306.5960244,345008971.6149304,2337116502.272841,184911225.8657932,1651685107.015225
2019-03-16 01:48:00,592244024.7102678,388244477.2793909,2764194325.7452736,191414514.41860807,1306366192.964404
2019-03-16 01:54:00,587322077.9230175,316184255.90380013,2119186658.3772328,148070698.6648674,1465348134.1139178
2019-03-16 02:00:00,504246849.5347845,295838406.87156266,3058883704.3517203,534756228.1768675,1031865568.7767289
2019-03-16 02:06:00,567595236.7772919,367911742.1170692,2011770851.7025652,471596585.1242456,1010169775.7611368
2019-03-16 02:12:00,624686520.3038746,251620642.91713116,2146135617.6465414,229634408.31333417,1477870212.9541402
2019-03-16 02:18:00,434687466.99097437,289253537.69891006,2459885347.62156,232238793.96737203,836577137.4147136
2019-03-16 02:24:00,431249366.7161127,239464059.27046782,2083540540.8676183,243533195.14476243,1061897678.0677378
2019-03-16 02:30:00,396670587.92865056,204571458.60792008,1547443100.035316,102766223.77760978,1249017515.2394896
2019-03-16 02:36:00,359228717.78347266,170728040.79842967,2361499199.706609,62907319.63676503,855141481.6144285
2019-03-16 02:42:00,257443806.66421142,285859741.47041005,2327114387.4456635,55097475.86341734,569244315.7110031
2019-03-16 02:48:00,275962080.81944525,247183048.8498825,1632938219.3719358,61938231.79274175,678086111.9490185
2019-03-16 02:54:00,314651304.07929665,100106261.17567858,1639262966.2761211,2759635.8480924144,784739887.875967
2019-03-16 03:00:00,286074842.5371069,209885171.1561519,2012385011.7205453,74449792.87602246,878003218.5071929
2019-03-16 03:06:00,263492829.21715647,190927092.2238545,2831324871.9463553,7269415.289007965,2045358239.5615942
2019-03-16 03:12:00,381293899.4969342,157322133.1867637,2123236891.81696,62565510.73126236,2204784753.542729
2019-03-16 03:18:00,386386540.8706615,198586410.21265623,2674154560.54328,141172408.61270308,719453247.2452701
2019-03-16 03:24:00,486668154.6228677,223417875.33057207,3555926881.6684365,8290562.638955875,1004831239.7008448
2019-03-16 03:30:00,260555310.5261108,238432068.30445573,2971498272.206116,9732710.710297003,985415439.3438103
2019-03-16 03:36:00,268615910.06634235,230576197.65771756,3073769573.387289,126813714.20885453,1109371176.3193243
