date_time,Deezer,Twitter,Netflix,DailyMotion,Google
2019-03-16 00:00:00,811814486.0115862,462050117.6671826,2906861446.2153683,147833215.88774368,989338918.9531062
2019-03-16 00:06:00,1008224222.2080151,533979723.06336766,4601904784.063612,529526078.0400557,2173242156.932046
2019-03-16 00:12:00,1229631026.4469845,503040960.8946111,3593926706.026504,459102121.9863839,2642117728.750013
2019-03-16 00:18:00,873735607.4434625,540158074.9691672,3355620136.2729173,470156945.04330313,1875767833.586422
2019-03-16 00:24:00,688800792.5952443,508569271.2183455,2925236850.6946764,274839584.6743095,1432236255.6529517
2019-03-16 00:30:00,757605988.0930567,384333232.76199704,3632466098.7560697,360990448.35642856,1239701744.9139822
2019-03-16 00:36:00,428111400.61517596,333110368.61686313,3151972651.233313,453897025.7295993,2030036709.4580107
2019-03-16 00:42:00,781566201.6720545,423787260.47590506,2242411454.2468038,293512667.3872798,1334105456.0289025
2019-03-16 00:48:00,482585092.7637707,284859967.99992967,1979759695.0612352,459943832.25347984,1352851748.005387
2019-03-16 00:54:00,627758135.2270582,294258710.97649413,2010585128.2922142,207332484.36082605,1134582917.3197289
2019-03-16 01:00:00,492660421.01956934,355991733.44128036,2767424516.664754,178484312.87744722,1217032227.104152
2019-03-16 01:06:00,506306025.90648466,372062320.30013067,2503722382.8819838,186177074.1717042,1213252179.703816
2019-03-16 01:12:00,569720408.609226,423936984.037224,2724325651.5064826,162393239.40814513,1099946734.7780907
2019-03-16 01:18:00,979933849.6500716,397074201.3918453,3514972928.199687,440778643.8262364,864980921.3718512
2019-03-16 01:24:00,744989956.8574591,403409827.7510551,3294461470.8754463,225929518.78813463,828019093.5255375
2019-03-16 01:30:00,705377654.4525375,308165381.1649459,2799347623.0670238,586814541.9687091,875858124.7278101
2019-03-16 01:36:00,1124058839.5220122,263952680.72843176,2887340300.907502,158279995.08017546,836757326.7094985
2019-03-16 01:42:00,934021441.1782547,247811453.90460792,2390923326.6341352,204049765.685556,1089287638.7003787
2019-03-16 01:48:00,878668227.8971485,305852945.92637426,2806494096.51907,169846178.7394571,1035292395.074328
2019-03-16 01:54:00,479299600.5560392,169184662.31513363,2610853840.0807066,184014216.499554,906755568.1558123
2019-03-16 02:00:00,418621339.1226416,146467044.18143424,3066942789.7287073,176761846.88032007,1113205528.9021816
2019-03-16 02:06:00,247158163.01865065,141869342.20082018,3315585405.7839727,423184012.44780153,733499974.9551163
2019-03-16 02:12:00,241513151.49440652,119976394.335176,2865957516.113073,466550578.3395876,604184403.953674
2019-03-16 02:18:00,204265165.9279254,203004103.05909023,2724259295.856109,390403794.98860925,727774696.4018233
2019-03-16 02:24:00,269890181.02121234,134768006.00159252,2346241801.0657663,360838988.9887063,639674992.8123474
2019-03-16 02:30:00,401672698.4401053,138729128.21115184,2247604064.9949284,109531070.09059584,640849869.7496874
2019-03-16 02:36:00,277080442.9525951,197386792.59298944,2869699836.478379,189065119.110389,632885155.4922206
2019-03-16 02:42:00,334852756.9553992,136472429.67196834,2783507392.82763,259242347.0424136,516767660.2320541
2019-03-16 02:48:00,266531497.447927,226451616.54726812,2589400145.70302,283362632.5652137,820629126.9055874
2019-03-16 02:54:00,157549872.72107142,189291269.6693702,2494579617.455425,308568199.07397264,627248247.1162126
2019-03-16 03:00:00,239943058.6336331,147330506.50986752,2094417498.39802,194370315.36743045,735650644.1814082
2019-03-16 03:06:00,229213165.15099287,118747462.72349088,1821825166.4634595,336135038.18525153,1125973487.7955625
2019-03-16 03:12:00,109435303.79102772,50115551.48895447,1808349348.973986,196322940.86711055,610410832.112886
2019-03-16 03:18:00,185209993.3542623,36007747.32781681,2758254951.224387,417172112.227452,439378641.0813401
2019-03-16 03:24:00,91814249.93992946,47083287.87987771,2617683092.4698772,218101894.44786403,545862516.923941
2019-03-16 03:30:00,213379896.4201885,62393722.87513874,2714666533.151298,184357533.02239805,552964872.8245482
2019-03-16 03:36:00,147905521.89271814,55000321.46683378,1935944127.7171829,232379517.2152684,430938190.6383221
2019-03-16 03:42:00,128976913.81654932,61223528.82629569,2020044605.057288,351689102.36861783,555459310.2960724
2019-03-16 03:48:00,187229022.57684928,67498611.30313417,1872844181.807693,236899202.56284884,476249664.5071785
2019-03-16 03:54:00,85933534.12180313,38489799.34591639,2156040676.405177,342547578.0691903,560507411.8324662
2019-03-16 04:00:00,61535266.28360948,18206448.49795524,1852007664.527979,213751345.59450802,692610836.0873809
2019-03-16 04:06:00,77135584.48044242,12846796.090197185,2163915645.943694,333245698.76220703,903732532.9801468
2019-03-16 04:12:00,114611698.67561568,35712369.731748745,1629003262.2386718,525473401.33309865,848766411.6493828
2019-03-16 04:18:00,149982383.99779427,23398543.544932693,1728776648.1045833,592879583.5885807,511710355.18938386
2019-03-16 04:24:00,232844253.4276808,69701801.43751995,1325442249.4118195,272436259.628418,410625346.0354514
2019-03-16 04:30:00,305014286.66104853,110640238.29610604,1080679097.1738486,293621858.502824,352573762.1156951
2019-03-16 04:36:00,200744354.41926345,141682057.64877334,870666184.7285576,229494983.6446496,473681354.20430434
