date_time,Google,Twitter,Netflix,DailyMotion,Deezer
2019-03-16 00:00:00,1080527526.30737,178985909.0315093,537660104.7451704,40151413.816971816,191874781.00003028
2019-03-16 00:06:00,854087127.7072033,232625844.9368708,668149708.7012178,207272352.87294284,173224789.2119287
2019-03-16 00:12:00,239833185.04858238,176198841.4010037,1528878614.5224435,280497125.7583389,90351398.12739612
2019-03-16 00:18:00,474184084.43659496,224618370.89972252,1525116524.9550755,429665433.3748994,151130545.8624593
2019-03-16 00:24:00,261424609.47373414,232105953.84588945,938488107.0348892,142162455.60287982,298702371.6887263
2019-03-16 00:30:00,306290942.00348663,161275730.52062002,630730113.5243566,53308450.38341834,294458888.99032766
2019-03-16 00:36:00,370923545.21260506,153936017.57938743,1003295315.8530028,73254845.34033822,123840339.07547636
2019-03-16 00:42:00,303908122.71292424,160252626.79118133,1011625965.1998676,65864696.832600296,199102555.99745145
2019-03-16 00:48:00,313642372.16132206,143555764.82492822,740778641.2683827,46611928.76481938,283519655.83888763
2019-03-16 00:54:00,265155844.34805897,107804562.16406558,386513293.867375,2036158.499328461,555582300.9952282
2019-03-16 01:00:00,435311829.5557089,145140227.55185986,713963243.5215173,218216919.09191197,486241164.4289056
2019-03-16 01:06:00,463417276.24867153,110542123.45092487,851401981.2776213,208776754.71715748,276387705.81202453
2019-03-16 01:12:00,560529687.8225955,110464935.91420823,508735497.63253015,50401264.8108318,321871656.7616811
2019-03-16 01:18:00,393768057.8704742,153892839.31454295,1011994953.5388321,13604382.405152434,342737198.71223366
2019-03-16 01:24:00,319613680.471221,90263122.34962268,823346377.4915693,33947983.13514918,215487866.41568407
2019-03-16 01:30:00,167017794.83029336,49674296.22998488,803499806.769829,44674912.65693893,153178853.57983026
2019-03-16 01:36:00,206283165.9722507,70634735.59450026,985988095.3636867,15649283.097791612,129876295.62462696
2019-03-16 01:42:00,269562599.08636785,39747332.36045091,617620781.5212512,51342499.46538858,154871362.81922576
2019-03-16 01:48:00,262585756.4878831,48047631.39926485,758149135.2938597,92567387.01592168,125184815.39112473
2019-03-16 01:54:00,230489460.0940553,27151726.71429302,782342962.3696573,1168180.5085709335,124827494.8949958
2019-03-16 02:00:00,252236021.32312056,61923546.26366245,772313262.3227623,53258204.53979902,163984366.72757322
2019-03-16 02:06:00,475537752.7716863,38163781.22287043,784288806.1731483,35377439.08920235,202475147.81951055
2019-03-16 02:12:00,319252111.9547725,39193789.16149876,667362174.5736039,12747697.499999793,177060862.11486003
2019-03-16 02:18:00,366796792.34830546,75400704.1578612,714285492.8217497,6937557.047033075,206177500.7198341
2019-03-16 02:24:00,382285323.1877526,78865309.79872268,768852393.0095531,90814687.61627324,330913673.21036315
2019-03-16 02:30:00,198490061.3475926,41762021.28577065,490755570.7976706,89230948.58314821,248990321.07949033
2019-03-16 02:36:00,137902665.6983406,51258436.16208498,782686988.0709705,71118731.04415536,208976284.7026744
2019-03-16 02:42:00,348285981.1225265,59960001.01970562,927372822.93934,125371271.33839954,265918395.5986816
2019-03-16 02:48:00,175782403.34684667,45053648.32244793,613463684.0481744,64981064.15795076,205471871.78344268
2019-03-16 02:54:00,222071565.1536932,35303814.10953838,735029243.0906768,51524910.53830802,136814946.04825243
2019-03-16 03:00:00,385484398.76430273,23954735.03422713,1036897524.472272,93180462.39388734,126867876.26885954
2019-03-16 03:06:00,225021575.49293256,17473799.80175005,983761985.3529187,333629685.94117486,55262033.53508984
2019-03-16 03:12:00,186126172.47777644,23069923.037635744,806469727.0761485,256701374.0534601,149614809.7286394
2019-03-16 03:18:00,248125340.24728197,34876202.74222256,591060718.6675367,53028298.76192808,102429222.0117244
