date_time,Twitter,Netflix,DailyMotion,Google,Deezer
2019-03-16 00:00:00,180471494.2207564,435634887.65156364,73346889.11452532,308794506.9214185,158721335.65647817
2019-03-16 00:06:00,262436252.30756065,789197718.542434,142389846.13019595,293693506.43712425,463891056.78098285
2019-03-16 00:12:00,142496995.13164002,798353447.8730584,185137039.32773763,409334741.9358644,468599634.246728
2019-03-16 00:18:00,138872140.46406898,1143387009.6910396,55101139.16895853,362690167.50449604,309987058.18904096
2019-03-16 00:24:00,300973462.0369998,1198164708.6854305,235618620.14667606,587736051.6274264,222011305.87525308
2019-03-16 00:30:00,379025746.3723285,1385990066.9043918,108173357.17635301,319054476.5157802,332731961.44820213
2019-03-16 00:36:00,230741998.21508363,846728424.6537883,89284889.97902083,338562947.31592447,263842588.9507669
2019-03-16 00:42:00,230496638.77953225,591769890.3350698,87975683.39228985,415819233.9863924,418421280.36861545
2019-03-16 00:48:00,169838452.15677437,1025243970.8817703,175620528.25858635,366677569.8691578,283263569.9964113
2019-03-16 00:54:00,195737263.402325,1028232943.8574336,206926205.79131183,181735083.28857842,232175108.85026425
2019-03-16 01:00:00,243094391.0588676,946425138.2044797,66811094.01171566,266955763.6751594,127715919.84602211
2019-03-16 01:06:00,179979141.64269146,1099719993.820083,49356921.526785,292963121.66279316,159128740.51155218
2019-03-16 01:12:00,175208400.30041835,1253763900.6067984,79160833.52864257,288602800.72461045,172109353.6988159
2019-03-16 01:18:00,231953545.75222665,648422807.871747,2697736.093283853,222534282.98400906,177394759.87447813
2019-03-16 01:24:00,217425716.20168668,569624031.197583,73813948.27863081,384715793.93777215,107352873.72051688
2019-03-16 01:30:00,167883571.3357294,570153050.8464403,78687218.23173451,84440038.14032352,101628867.60301916
2019-03-16 01:36:00,168173144.0365967,689445876.9800241,226569393.46116352,210859370.66370305,85233143.50067545
2019-03-16 01:42:00,139771206.9746375,1271446560.52254,83573803.47108604,171314679.31001148,35741294.05396622
2019-03-16 01:48:00,191514081.8741033,1148020801.6743908,4075359.981558658,231711899.88308463,77280937.1433018
2019-03-16 01:54:00,129912957.021541,786798365.882468,30887350.37792969,239595616.21290255,68602854.87739822
2019-03-16 02:00:00,111127838.12714826,1354280328.0540226,36127032.38857604,149560021.969023,105717637.1674216
2019-03-16 02:06:00,114206944.04049385,1303843637.041792,56616036.3569174,146126887.7874426,99169073.51248296
2019-03-16 02:12:00,106282897.09426072,1343846799.6869636,157730060.9140625,224338977.24807394,145336557.31003368
2019-03-16 02:18:00,57789344.29260632,1008371548.167128,22542187.078125,197836679.30290896,103668343.31745596
2019-03-16 02:24:00,94203199.29435742,1381060219.2728038,54561236.04886744,119117874.09410012,176909248.64757633
2019-03-16 02:30:00,55613347.44586903,673532674.2437469,71660308.26657015,156006356.85422304,118004717.1303904
2019-03-16 02:36:00,53914383.0838959,440628071.00647295,9496765.255093178,218061824.533641,95393418.39565578
2019-03-16 02:42:00,69883978.31198375,454309711.2980889,13702005.807041787,158236162.7781966,166339522.744424
2019-03-16 02:48:00,48023584.36742706,350385036.08718836,5989725.707449057,101009884.26014543,106791262.68562923
2019-03-16 02:54:00,59958795.82635757,518169501.91465926,1704939.0830826685,237620524.7348945,146398028.144868
2019-03-16 03:00:00,69761256.3022749,631273163.7183553,3575716.1386484904,158076925.66719255,78474828.08701621
2019-03-16 03:06:00,43131772.01805987,901139383.1995645,7544546.143573134,113070997.71452563,121848331.08182508
2019-03-16 03:12:00,61155252.29866588,617800657.0460179,1301364.663482363,65423056.77444162,96587398.85915856
2019-03-16 03:18:00,48096153.53358657,401235642.0480904,14063726.46875,181227176.91117877,206987076.8257588
2019-03-16 03:24:00,59688291.78183067,393162281.2306132,1315859.5759635812,80892060.72629705,209895891.37672967
2019-03-16 03:30:00,54639830.80728579,344859719.7438459,30851078.078125,103844259.95167714,145433008.24463063
2019-03-16 03:36:00,66676174.74049558,342379241.73021924,17734667.613777187,135138596.98884267,128891926.03682102
2019-03-16 03:42:00,54242407.62747656,506134366.50887,500519.90625,113386938.06989859,200899501.25056463
2019-03-16 03:48:00,50964827.58460558,445535433.44618034,737328.5259474977,216833033.3670004,64387903.06540035
